"","lon","lat","COUNTRY"
"1",9.501785,56.26392,"Denmark"
"2",-3.435973,55.378051,"United Kingdom"
"3",53.847818,23.424076,"United Arab Emirates"
"4",35.243322,38.963745,"Turkey"
"5",-7.09262,31.791702,"Morocco"
"6",78.96288,20.593684,"India"
"7",51.183884,25.354826,"Katar"
"8",138.252924,36.204824,"Japan"
"9",66.923684,48.019573,"Kazahstan"
"10",8.468946,60.472024,"Norway"
"11",21.824312,39.074208,"Greece"
"12",12.56738,41.87194,"Italy"
"13",-3.74922,40.463667,"Spain"
"14",36.238414,30.585164,"Jordan"
"15",5.291266,52.132633,"The Netherlands"
"16",2.213749,46.227638,"France"
"17",24.96676,45.943161,"Rumania"
"18",105.318756,61.52401,"Russia"
"19",59.556278,38.969719,"Turkmenistan"
"20",30.802498,26.820553,"Egypt"
"21",-95.712891,37.09024,"USA"
"22",43.679291,33.223191,"Iraq"
"23",67.709953,33.93911,"Afghanistan"
"24",50.5577,26.0667,"Bahrein"
"25",47.576927,40.143105,"Azerbaijan"
"26",-3.996166,17.570692,"Mali"
"27",100.992541,15.870032,"Thailand"
"28",17.679076,43.915886,"Bosnia-Herczegovina"
"29",-82.9000751,32.1656221,"Georgia"
"30",8.227512,46.818188,"Switzerland"
"31",1.659626,28.033886,"Algeria"
"32",14.550072,47.516231,"Austria"
"33",35.862285,33.854721,"Libanon"
"34",21.005859,44.016521,"Serbia"
"35",17.228331,26.3351,"Lybia"
"36",10.451526,51.165691,"Germany"
"37",27.953389,53.709807,"Belorussia"
"38",15.472962,49.817492,"Czech Republic"
"39",4.469936,50.503887,"Belgium"
"40",25.48583,42.733883,"Bulgaria"
"41",-102.552784,23.634501,"Mexico"
"42",31.16558,48.379433,"Ukraine"
"43",28.369885,47.411631,"Moldova"
"44",-8.24389,53.41291,"Ireland"
"45",38.996815,34.802075,"Syria"
"46",19.503304,47.162494,"Hungary"
"47",90.356331,23.684994,"Bangladesh"
"48",9.537499,33.886917,"Tunesia"
"49",15.2,45.1,"Croatia"
"50",32.290275,1.373333,"Uganda"
"51",-51.92528,-14.235004,"Brasil"
"52",-8.224454,39.399872,"Portugal"
"53",-106.346771,56.130366,"Canada"
"54",19.145136,51.919438,"Poland"
"55",15.827659,-0.228021,"Congo"
"56",18.643501,60.128161,"Sweden"
"57",25.748151,61.92411,"Finland"
"58",104.195397,35.86166,"China"
"59",45.038189,40.069099,"Armenia"
"60",69.345116,30.375321,"Pakhistan"
"61",30.217636,12.862807,"Sudan"
"62",19.699024,48.669026,"Slovakia"
"63",23.881275,55.169438,"Lithuania"
"64",-19.020835,64.963051,"Iceland"
"65",40.489673,9.145,"Ethiopia"
"66",34.888822,-6.369028,"Tanzania"
"67",101.975766,4.210484,"Malaysia"
"68",71.276093,38.861034,"Tajikistan"
"69",47.481766,29.31166,"Kuwait"
"70",-86.241905,15.199999,"Honduras"
"71",33.429859,35.126413,"Cyprus"
"72",14.995463,46.151241,"Slovenia"
"73",6.129583,49.815273,"Luxembourg"
"74",55.6666667,-4.5833333,"Seychelles Islands"
"75",73.5361118,1.9772469,"Maldive Islands"
"76",57.552152,-20.348404,"Mauritius"
"77",37.906193,-0.023559,"Kenya"
"78",55.975413,21.4735329,"Oman"
"79",21.745275,41.608635,"Macedonia"
"80",-149.406843,-17.679742,"French Polynesia"
"81",19.37439,42.708678,"Montenegro"
"82",8.081666,17.607789,"Niger"
"83",24.603189,56.879635,"Latvia"
"84",45.079162,23.885942,"Saudi Arabia"
"85",-23.6051722,15.120142,"Cape Verde"
"86",-70.162651,18.735693,"Dominic Republic"
"87",103.819836,1.352083,"Singapore"
"88",120.960515,23.69781,"Taivan"
"89",25.013607,58.595272,"Estonia"
"90",64.585262,41.377491,"Uzbegistan"
"91",53.688046,32.427908,"Iran"
"92",34.851612,31.046051,"Israel"
"93",20.168331,41.153332,"Albania"
"94",14.375416,35.937496,"Malta"
"95",29.154857,-19.015438,"Zimbabwe"
